,ARAT-RL_old,,, Sum ofARAT-RL,,person-controller,languagetool
74,5,3,6,14,,4,1
75,5,3,6,14,,4,1
76,6,3,6,15,,4,1
77,6,3,6,15,,4,1
78,6,3,6,15,,4,1
79,6,3,6,15,,4,1
80,6,3,6,15,,4,1
81,6,3,6,15,,4,1
82,6,3,6,15,,4,1
83,6,3,6,15,,4,1
84,6,3,6,15,,4,1
85,6,3,6,15,,4,1
86,6,3,6,15,,4,1
87,6,3,6,15,,4,1
88,6,3,6,15,,4,1
89,6,3,6,15,,4,1
90,6,3,6,15,,4,1
91,6,3,6,15,,4,1
92,6,3,6,15,,4,1
93,6,3,6,15,,4,1
94,6,3,6,15,,4,1
95,6,3,6,15,,4,1
96,6,3,6,15,,4,1
97,6,3,6,15,,4,1
98,6,3,6,15,,4,1
99,6,3,6,15,,4,1
100,6,3,6,15,,4,1
101,6,3,6,15,,5,1
102,6,3,6,15,,5,1
103,6,3,6,15,,5,1
104,6,3,6,15,,5,1
105,6,3,6,15,,5,1
106,6,3,6,15,,5,1
107,6,3,6,15,,5,1
108,6,3,6,15,,5,1
109,6,3,6,15,,5,1
110,6,3,6,15,,5,1
111,6,3,6,15,,5,1
112,6,3,6,15,,5,1
113,6,3,6,15,,5,1
114,6,3,6,15,,5,1
115,6,3,6,15,,5,1
116,6,3,6,15,,5,1
117,6,3,6,15,,5,1
118,6,3,6,15,,5,1
119,6,3,6,15,,5,1
120,6,3,6,15,,5,1
121,6,3,6,15,,5,1
122,6,3,6,15,,5,1
123,6,3,6,15,,5,1
124,6,3,6,15,,5,1
125,6,3,6,15,,5,1
126,6,3,6,15,,5,1
127,6,3,6,15,,5,2
128,6,3,6,15,,5,2
129,6,3,6,15,,6,2
130,6,3,6,15,,6,2
131,6,3,6,15,,6,2
132,6,3,6,15,,6,2
133,6,3,6,15,,6,2
134,6,3,6,15,,6,2
135,6,3,6,15,,6,2
136,6,3,6,15,,6,2
137,6,3,6,15,,6,2
138,6,3,6,15,,6,2
139,6,3,6,15,,6,2
140,6,3,6,15,,6,2
141,6,3,6,15,,6,2
142,6,3,6,15,,6,2
143,6,3,6,15,,6,2
144,6,3,6,15,,6,2
145,6,3,6,15,,6,2
146,6,3,6,15,,6,2
147,6,3,6,15,,6,2
148,6,3,6,15,,6,2
149,7,3,6,16,,6,2
150,7,3,6,16,,6,2
151,7,3,6,16,,6,2
152,7,3,6,16,,6,2
153,7,3,6,16,,6,2
154,7,3,6,16,,6,2
155,7,3,6,16,,6,2
156,7,3,6,16,,6,2
157,7,3,6,16,,6,2
158,7,3,6,16,,6,2
159,7,3,6,16,,6,2
160,7,3,6,16,,6,2
161,7,3,6,16,,6,2
162,7,3,6,16,,6,2
163,7,3,6,16,,6,2
164,7,3,6,16,,6,2
165,7,3,6,16,,6,2
166,7,3,6,16,,6,2
167,7,3,6,16,,6,2
168,7,3,6,16,,6,2
169,7,3,6,16,,6,2
170,7,3,6,16,,6,2
171,7,3,6,16,,7,2
172,7,3,6,16,,7,2
173,7,3,6,16,,7,2
174,7,3,6,16,,7,2
175,7,3,6,16,,7,2
176,7,3,6,16,,7,2
177,7,3,6,16,,7,2
178,7,3,6,16,,7,2
179,7,3,6,16,,7,2
180,7,3,6,16,,7,2
181,7,3,6,16,,7,2
182,7,3,6,16,,7,2
183,7,3,6,16,,7,2
184,7,3,6,16,,7,2
185,7,3,6,16,,7,2
186,7,3,6,16,,7,2
187,7,3,6,16,,7,2
188,8,3,6,17,,7,2
189,8,3,6,17,,7,2
190,8,3,6,17,,7,2
191,8,3,6,17,,7,2
192,8,3,6,17,,7,2
193,8,3,6,17,,7,2
194,8,3,6,17,,7,2
195,8,3,6,17,,7,2
196,8,3,6,17,,7,2
197,8,3,6,17,,7,2
198,8,3,6,17,,7,2
199,8,3,6,17,,7,2
200,8,3,6,17,,7,2
201,8,3,6,17,,7,2
202,8,3,6,17,,7,2
203,8,3,6,17,,7,2
204,8,3,6,17,,7,2
205,8,3,6,17,,7,2
206,8,3,6,17,,7,2
207,8,3,6,17,,7,2
208,8,3,6,17,,7,2
209,8,3,6,17,,7,2
210,8,3,6,17,,7,2
211,8,3,6,17,,7,2
212,8,3,6,17,,7,2
213,8,3,6,17,,7,2
214,8,3,6,17,,7,2
215,8,3,6,17,,7,2
216,8,3,6,17,,7,2
217,8,3,6,17,,7,2
218,8,3,6,17,,7,2
219,8,3,6,17,,7,2
220,8,3,6,17,,7,2
221,8,3,6,17,,7,2
222,8,3,6,17,,7,2
223,8,3,6,17,,7,2
224,8,3,6,17,,7,2
225,8,3,6,17,,8,2
226,8,3,6,17,,8,2
227,8,3,6,17,,8,2
228,8,3,6,17,,8,2
229,8,3,6,17,,8,2
230,8,3,6,17,,8,2
231,8,3,6,17,,8,2
232,8,3,6,17,,8,2
233,8,3,6,17,,8,2
234,8,3,6,17,,8,2
235,8,3,6,17,,8,2
236,8,3,6,17,,8,2
237,8,3,6,17,,8,2
238,8,3,6,17,,8,2
239,8,3,6,17,,8,2
240,8,3,6,17,,8,2
241,8,3,6,17,,8,2
242,8,3,6,17,,8,2
243,8,3,6,17,,8,2
244,8,3,6,17,,8,2
245,8,3,6,17,,8,2
246,8,3,6,17,,8,2
247,8,3,6,17,,8,2
248,8,3,6,17,,8,2
249,8,3,6,17,,8,2
250,8,3,6,17,,8,2
251,8,3,6,17,,8,2
252,8,3,6,17,,8,2
253,8,3,6,17,,8,2
254,8,3,6,17,,8,2
255,8,3,6,17,,8,2
256,8,4,6,18,,8,2
257,8,4,6,18,,8,2
258,8,4,6,18,,8,2
259,8,4,6,18,,8,2
260,8,4,6,18,,8,2
261,8,4,6,18,,8,2
262,8,4,6,18,,8,2
263,8,4,6,18,,8,2
264,8,4,6,18,,8,2
265,8,4,6,18,,8,2
266,8,4,6,18,,8,2
267,8,4,6,18,,8,2
268,9,4,6,19,,8,2
269,9,4,6,19,,8,2
270,9,4,6,19,,8,2
271,9,4,6,19,,8,2
272,9,4,6,19,,8,2
273,9,4,6,19,,9,2
274,9,4,6,19,,9,2
275,9,4,6,19,,9,2
276,9,4,6,19,,9,2
277,9,4,6,19,,9,2
278,9,4,6,19,,9,2
279,10,4,6,20,,9,2
280,10,4,6,20,,9,2
281,10,4,6,20,,9,2
282,10,4,6,20,,9,2
283,10,4,6,20,,9,2
284,10,4,6,20,,9,2
285,10,4,6,20,,9,2
286,10,4,6,20,,9,2
287,10,4,6,20,,9,2
288,10,4,6,20,,9,2
289,10,4,6,20,,9,2
290,10,4,6,20,,9,2
291,10,4,6,20,,9,2
292,10,4,6,20,,9,2
293,10,4,6,20,,9,2
294,10,4,6,20,,9,3
295,10,4,6,20,,9,3
296,10,4,6,20,,9,3
297,10,4,6,20,,9,3
298,10,4,6,20,,9,3
299,10,4,6,20,,9,3
300,10,4,6,20,,9,3
301,10,4,6,20,,9,3
302,10,4,6,20,,9,3
303,10,4,6,20,,9,3
304,10,4,6,20,,9,3
305,10,4,6,20,,9,3
306,10,4,6,20,,10,3
307,10,4,6,20,,10,3
308,10,4,6,20,,10,3
309,10,4,6,20,,10,3
310,10,4,6,20,,10,3
311,10,4,6,20,,10,3
312,10,4,6,20,,10,3
313,10,4,6,20,,10,3
314,10,4,6,20,,10,3
315,10,4,6,20,,10,3
316,10,4,6,20,,10,3
317,10,4,6,20,,10,3
318,10,4,6,20,,10,3
319,10,4,6,20,,10,3
320,10,4,6,20,,10,3
321,10,4,6,20,,10,3
322,10,4,6,20,,10,3
323,10,4,6,20,,10,3
324,10,4,6,20,,10,3
325,10,4,6,20,,10,3
326,10,4,6,20,,10,3
327,10,4,6,20,,10,3
328,10,4,6,20,,10,3
329,10,4,6,20,,10,3
330,10,4,6,20,,10,3
331,10,4,6,20,,10,3
332,11,4,6,21,,10,3
333,11,4,6,21,,10,3
334,11,4,6,21,,10,3
335,11,4,6,21,,10,3
336,11,4,6,21,,10,3
337,11,4,6,21,,10,3
338,11,4,6,21,,10,3
339,11,4,6,21,,10,3
340,11,4,6,21,,10,3
341,11,4,6,21,,10,3
342,11,4,6,21,,10,3
343,11,4,6,21,,10,3
344,11,4,6,21,,10,3
345,11,4,6,21,,11,3
346,12,4,6,22,,11,3
347,12,4,6,22,,11,3
348,12,4,6,22,,11,3
349,12,4,6,22,,11,3
350,12,4,6,22,,11,3
351,12,4,6,22,,11,3
352,12,4,6,22,,11,3
353,12,4,6,22,,11,3
354,12,4,6,22,,11,3
355,12,4,6,22,,11,3
356,12,4,6,22,,11,3
357,12,4,6,22,,11,3
358,12,4,6,22,,11,3
359,12,4,6,22,,11,3
360,12,4,6,22,,11,3
361,12,4,6,22,,11,3
362,12,4,6,22,,11,3
363,12,4,6,22,,11,3
364,12,4,6,22,,11,3
365,12,4,6,22,,11,3
366,12,4,6,22,,11,3
367,12,4,6,22,,11,3
368,12,4,6,22,,11,3
369,12,4,6,22,,11,3
370,12,4,6,22,,11,3
371,12,4,6,22,,11,3
372,12,4,6,22,,11,3
373,12,4,6,22,,11,3
374,12,4,6,22,,11,3
375,12,4,6,22,,11,3
376,12,4,6,22,,11,3
377,12,4,6,22,,11,3
378,12,4,6,22,,11,3
379,12,4,6,22,,11,3
380,12,4,6,22,,11,3
381,12,4,6,22,,11,3
382,12,4,6,22,,11,3
383,12,4,6,22,,12,3
384,13,4,6,23,,12,3
385,13,4,6,23,,12,3
386,13,4,6,23,,12,3
387,13,4,6,23,,12,3
388,14,4,6,24,,12,3
389,14,4,6,24,,12,3
390,14,4,6,24,,12,3
391,14,4,6,24,,12,3
392,14,4,6,24,,12,3
393,14,4,6,24,,12,3
394,14,4,6,24,,12,3
395,14,4,6,24,,12,3
396,14,4,6,24,,12,3
397,14,4,6,24,,12,3
398,14,4,6,24,,12,3
399,14,4,6,24,,12,3
400,14,4,6,24,,12,3
401,14,4,6,24,,12,3
402,14,4,6,24,,13,3
403,14,4,6,24,,13,3
404,14,4,6,24,,13,3
405,14,4,6,24,,13,3
406,14,4,6,24,,13,3
407,14,4,6,24,,13,3
408,14,4,6,24,,13,3
409,14,4,6,24,,13,3
410,14,4,6,24,,13,3
411,14,4,6,24,,13,3
412,14,4,6,24,,13,3
413,14,4,6,24,,13,3
414,14,4,6,24,,13,3
415,14,4,6,24,,13,3
416,14,4,6,24,,13,3
417,14,4,6,24,,13,3
418,14,4,6,24,,13,3
419,14,4,6,24,,13,3
420,14,4,6,24,,13,3
421,14,4,6,24,,13,3
422,14,4,6,24,,13,3
423,14,4,6,24,,13,3
424,15,4,6,25,,13,3
425,15,4,6,25,,13,3
426,15,4,6,25,,13,3
427,15,4,6,25,,13,3
428,15,4,6,25,,13,3
429,15,4,6,25,,13,3
430,15,4,6,25,,13,3
431,15,4,6,25,,13,3
432,15,4,6,25,,13,3
433,15,4,6,25,,13,3
434,15,4,6,25,,13,3
435,15,4,6,25,,13,3
436,15,4,6,25,,13,3
437,15,4,6,25,,13,3
438,15,4,6,25,,13,3
439,15,4,6,25,,13,3
440,15,4,6,25,,13,3
441,15,4,6,25,,13,3
442,15,4,6,25,,13,3
443,15,4,6,25,,13,3
444,15,4,6,25,,13,3
445,15,4,6,25,,14,3
446,15,4,6,25,,14,3
447,15,4,6,25,,14,3
448,15,4,6,25,,14,3
449,15,4,6,25,,14,3
450,15,4,6,25,,14,3
451,15,4,6,25,,14,3
452,15,4,6,25,,14,3
453,15,4,6,25,,14,3
454,15,4,6,25,,14,3
455,15,4,6,25,,14,3
456,15,4,6,25,,14,3
457,15,4,6,25,,14,3
458,15,4,6,25,,14,3
459,15,4,6,25,,14,3
460,15,4,6,25,,14,3
461,15,4,6,25,,14,3
462,15,4,6,25,,14,3
463,15,4,6,25,,14,3
464,15,4,6,25,,14,3
465,15,4,6,25,,14,3
466,15,4,6,25,,14,3
467,15,4,6,25,,14,3
468,15,4,6,25,,14,3
469,15,4,6,25,,14,3
470,15,4,6,25,,14,3
471,15,4,6,25,,14,3
472,15,4,6,25,,14,3
473,15,4,6,25,,14,3
474,15,4,6,25,,14,3
475,15,4,6,25,,14,3
476,15,4,6,25,,14,3
477,15,4,6,25,,14,3
478,15,4,6,25,,14,3
479,15,4,6,25,,14,3
480,15,4,6,25,,15,3
481,15,4,6,25,,15,3
482,16,4,6,26,,15,3
483,16,4,6,26,,15,3
484,16,4,6,26,,15,3
485,16,4,6,26,,15,3
486,16,4,6,26,,15,3
487,16,4,6,26,,15,3
488,16,4,6,26,,15,3
489,16,4,6,26,,15,3
490,16,4,6,26,,15,3
491,16,4,6,26,,15,3
492,16,4,6,26,,15,3
493,16,4,6,26,,15,3
494,16,4,6,26,,15,3
495,16,4,6,26,,15,3
496,16,4,6,26,,15,3
497,16,4,6,26,,15,3
498,16,4,6,26,,15,3
499,16,4,6,26,,15,3
500,16,4,6,26,,15,3
501,17,4,6,27,,15,3
502,17,4,6,27,,15,3
503,17,4,6,27,,15,3
504,17,4,6,27,,15,3
505,17,4,6,27,,15,3
506,17,4,6,27,,15,3
507,18,4,6,28,,15,3
508,18,4,6,28,,15,3
509,18,4,6,28,,15,3
510,18,4,6,28,,15,3
511,18,4,6,28,,15,3
512,18,4,6,28,,15,3
513,18,4,6,28,,15,3
514,18,4,6,28,,15,3
515,18,4,6,28,,15,3
516,18,4,6,28,,15,3
517,19,4,6,29,,15,3
518,19,4,6,29,,15,3
519,19,4,6,29,,15,3
520,19,4,6,29,,15,3
521,19,4,6,29,,15,3
522,19,4,6,29,,15,3
523,19,4,6,29,,15,3
524,19,4,6,29,,15,3
525,19,4,6,29,,15,3
526,19,4,6,29,,16,3
527,19,4,6,29,,16,3
528,19,4,6,29,,16,3
529,19,4,6,29,,16,3
530,19,4,6,29,,16,3
531,19,4,6,29,,16,3
532,19,4,6,29,,16,3
533,19,4,6,29,,16,3
534,19,4,6,29,,16,3
535,19,4,6,29,,16,3
536,20,4,6,30,,16,3
537,20,4,6,30,,16,3
538,20,4,6,30,,16,3
539,20,4,6,30,,16,3
540,20,4,6,30,,16,3
541,20,4,6,30,,16,3
542,20,4,6,30,,16,3
543,20,4,6,30,,16,3
544,20,4,6,30,,16,3
545,20,4,6,30,,16,3
546,21,4,6,31,,16,3
547,21,4,6,31,,16,3
548,21,4,6,31,,16,3
549,21,4,6,31,,16,3
550,21,4,6,31,,16,3
551,21,4,6,31,,16,3
552,21,4,6,31,,16,3
553,21,4,6,31,,16,3
554,21,4,6,31,,16,3
555,21,4,6,31,,16,3
556,21,4,6,31,,16,3
557,21,4,6,31,,16,3
558,21,4,6,31,,17,3
559,21,4,6,31,,17,3
560,21,4,6,31,,17,3
561,21,4,6,31,,17,3
562,21,4,6,31,,17,3
563,21,4,6,31,,17,3
564,21,4,6,31,,17,3
565,21,4,6,31,,17,3
566,21,4,6,31,,17,3
567,21,4,6,31,,17,3
568,21,4,6,31,,17,3
569,21,4,6,31,,17,3
570,21,4,6,31,,17,3
571,21,4,6,31,,17,3
572,21,4,6,31,,17,3
573,21,4,6,31,,17,3
574,21,4,6,31,,17,3
575,21,4,6,31,,17,3
576,21,4,6,31,,17,3
577,21,4,6,31,,17,3
578,21,4,6,31,,17,3
579,21,4,6,31,,17,3
580,21,4,6,31,,17,3
581,21,4,6,31,,17,3
582,21,4,6,31,,17,3
583,21,4,6,31,,17,3
584,21,4,6,31,,17,3
585,21,4,6,31,,17,3
586,21,4,6,31,,17,3
587,21,4,6,31,,17,3
588,21,4,6,31,,17,3
589,21,4,6,31,,17,3
590,21,4,6,31,,17,3
591,21,4,6,31,,17,3
592,21,4,6,31,,18,3
593,21,4,6,31,,18,3
594,21,4,6,31,,18,3
595,21,4,6,31,,18,3
596,21,4,6,31,,18,3
597,21,4,6,31,,18,3
598,21,4,6,31,,18,3
599,21,4,6,31,,18,3
600,21,4,6,31,,18,3
601,21,4,6,31,,18,3
602,21,4,6,31,,18,3
603,21,4,6,31,,18,3
604,21,4,6,31,,18,3
605,21,4,6,31,,18,3
606,21,4,6,31,,18,3
607,21,4,6,31,,18,3
608,21,4,6,31,,18,3
609,21,4,6,31,,18,3
610,21,4,6,31,,18,3
611,21,4,6,31,,18,3
612,21,4,6,31,,18,3
613,21,4,6,31,,18,3
614,21,4,6,31,,18,3
615,21,4,6,31,,18,3
616,21,4,6,31,,18,3
617,22,4,6,32,,18,3
618,22,4,6,32,,18,3
619,22,4,6,32,,18,3
620,22,4,6,32,,19,3
621,22,4,6,32,,19,3
622,22,4,6,32,,19,3
623,22,4,6,32,,19,3
624,22,4,6,32,,19,3
625,22,4,6,32,,19,3
626,23,4,6,33,,19,3
627,23,4,6,33,,19,3
628,24,4,6,34,,19,3
629,24,4,6,34,,19,3
630,24,4,6,34,,19,3
631,24,4,6,34,,19,3
632,24,4,6,34,,19,3
633,24,4,6,34,,19,3
634,24,4,6,34,,19,3
635,24,4,6,34,,19,3
636,24,4,6,34,,19,3
637,24,4,6,34,,19,3
638,24,4,6,34,,19,3
639,24,4,6,34,,19,3
640,24,4,6,34,,19,3
641,24,4,6,34,,19,3
642,24,4,6,34,,19,3
643,24,4,6,34,,19,3
644,24,4,6,34,,19,3
645,24,4,6,34,,19,3
646,24,4,6,34,,20,3
647,24,4,6,34,,20,3
648,24,4,6,34,,20,3
649,24,4,6,34,,20,3
650,24,4,6,34,,20,3
651,24,4,6,34,,20,3
652,24,4,6,34,,20,3
653,24,4,6,34,,20,3
654,24,4,6,34,,20,3
655,24,4,6,34,,20,3
656,24,4,6,34,,20,3
657,24,4,6,34,,20,3
658,24,4,6,34,,20,3
659,24,4,6,34,,20,3
660,24,4,6,34,,20,3
661,24,4,6,34,,20,3
662,24,4,6,34,,20,3
663,24,4,6,34,,20,3
664,24,4,6,34,,20,3
665,24,4,6,34,,20,3
666,24,4,6,34,,20,3
667,24,4,6,34,,20,3
668,24,4,6,34,,20,3
669,25,4,6,35,,20,3
670,25,4,6,35,,20,3
671,25,4,6,35,,20,3
672,25,4,6,35,,20,3
673,25,4,6,35,,20,3
674,25,4,6,35,,20,3
675,25,4,6,35,,20,3
676,26,4,6,36,,20,3
677,26,4,6,36,,20,3
678,26,4,6,36,,20,3
679,26,4,6,36,,20,3
680,26,4,6,36,,20,3
681,26,4,6,36,,20,3
682,26,4,6,36,,20,3
683,26,4,6,36,,20,3
684,26,4,6,36,,20,3
685,26,4,6,36,,20,3
686,26,4,6,36,,20,3
687,26,4,6,36,,21,3
688,26,4,6,36,,21,3
689,26,4,6,36,,21,3
690,26,4,6,36,,21,3
691,26,4,6,36,,21,3
692,26,4,6,36,,21,3
693,26,4,6,36,,21,3
694,26,4,6,36,,21,3
695,26,4,6,36,,21,3
696,26,4,6,36,,21,3
697,26,4,6,36,,21,3
698,26,4,6,36,,21,3
699,26,4,6,36,,21,3
700,26,4,6,36,,21,3
701,26,4,6,36,,21,3
702,26,4,6,36,,21,3
703,26,4,6,36,,21,3
704,26,4,6,36,,21,3
705,26,4,6,36,,21,3
706,26,4,6,36,,21,3
707,26,4,6,36,,21,3
708,26,4,6,36,,21,3
709,26,4,6,36,,21,3
710,26,4,6,36,,21,3
711,26,4,6,36,,21,3
712,26,4,6,36,,21,3
713,26,4,6,36,,21,3
714,26,4,6,36,,21,3
715,26,4,6,36,,21,3
716,26,4,6,36,,21,3
717,27,4,6,37,,21,3
718,27,4,6,37,,21,3
719,27,4,6,37,,21,3
720,27,4,6,37,,21,3
721,27,4,6,37,,21,3
722,27,4,6,37,,21,3
723,27,4,6,37,,21,3
724,27,4,6,37,,21,3
725,27,4,6,37,,22,3
726,27,4,6,37,,22,3
727,27,4,6,37,,22,3
728,27,4,6,37,,22,3
729,27,4,6,37,,22,3
730,27,4,6,37,,22,3
731,27,4,6,37,,22,3
732,27,4,6,37,,22,3
733,27,4,6,37,,22,3
734,28,4,6,38,,22,3
735,28,4,6,38,,22,3
736,28,4,6,38,,22,3
737,28,4,6,38,,22,3
738,28,4,6,38,,22,3
739,28,4,6,38,,22,3
740,28,4,6,38,,22,3
741,28,4,6,38,,22,3
742,28,4,6,38,,22,3
743,28,4,6,38,,22,3
744,28,4,6,38,,22,3
745,28,4,6,38,,22,3
746,28,4,6,38,,22,3
747,28,4,6,38,,22,3
748,28,4,6,38,,22,3
749,28,4,6,38,,22,3
750,28,4,6,38,,22,3
751,28,4,6,38,,22,3
752,28,4,6,38,,22,3
753,28,4,6,38,,22,3
754,28,4,6,38,,22,3
755,28,4,6,38,,23,3
756,28,4,6,38,,23,3
757,28,4,6,38,,23,3
758,28,4,6,38,,23,3
759,28,4,6,38,,23,3
760,28,4,6,38,,23,3
761,28,4,6,38,,23,3
762,28,4,6,38,,23,3
763,29,4,6,39,,23,3
764,29,4,6,39,,23,3
765,29,4,6,39,,23,3
766,29,4,6,39,,23,3
767,29,4,6,39,,23,3
768,30,4,6,40,,23,3
769,30,4,6,40,,24,3
770,30,4,6,40,,24,3
771,30,4,6,40,,24,3
772,30,5,6,41,,24,3
773,30,5,6,41,,24,3
774,30,5,6,41,,24,3
775,30,5,6,41,,24,3
776,30,5,6,41,,24,3
777,30,5,6,41,,24,3
778,30,5,6,41,,24,3
779,30,5,6,41,,24,3
780,30,5,6,41,,24,3
781,30,5,6,41,,24,3
782,30,5,6,41,,24,3
783,30,5,6,41,,24,3
784,30,5,6,41,,24,3
785,30,5,6,41,,24,3
786,30,5,6,41,,24,3
787,30,5,6,41,,24,3
788,30,5,6,41,,24,3
789,30,5,6,41,,24,3
790,30,5,6,41,,24,3
791,30,5,6,41,,24,3
792,30,5,6,41,,24,3
793,30,5,6,41,,24,3
794,30,5,6,41,,24,3
795,30,5,6,41,,24,3
796,30,5,6,41,,25,3
797,30,5,6,41,,25,3
798,30,5,6,41,,25,3
799,30,5,6,41,,25,3
800,30,5,6,41,,25,3
801,30,5,6,41,,25,3
802,30,5,6,41,,25,3
803,30,5,6,41,,25,3
804,31,5,6,42,,25,3
805,31,5,6,42,,25,3
806,31,5,6,42,,25,3
807,31,5,6,42,,25,3
808,31,5,6,42,,25,3
809,31,5,6,42,,25,3
810,31,5,6,42,,25,3
811,31,5,6,42,,25,3
812,31,5,6,42,,25,3
813,31,5,6,42,,26,3
814,31,5,6,42,,26,3
815,31,5,6,42,,26,3
816,31,5,6,42,,26,3
817,31,5,6,42,,26,3
818,31,5,6,42,,26,3
819,31,5,6,42,,26,3
820,31,5,6,42,,26,3
821,31,5,6,42,,26,3
822,31,5,6,42,,26,3
823,31,5,6,42,,26,3
824,31,5,6,42,,26,3
825,31,5,6,42,,26,3
826,31,5,6,42,,26,3
827,31,5,6,42,,26,3
828,31,5,6,42,,26,3
829,31,5,6,42,,26,3
830,31,5,6,42,,26,3
831,31,5,6,42,,26,3
832,31,5,6,42,,26,3
833,31,5,6,42,,26,3
834,31,5,6,42,,26,3
835,31,5,6,42,,26,3
836,31,5,6,42,,26,3
837,31,5,6,42,,26,3
838,32,5,6,43,,26,3
839,33,5,6,44,,26,3
840,33,5,6,44,,26,3
841,33,5,6,44,,26,3
842,33,5,6,44,,26,3
843,33,5,6,44,,26,3
844,33,5,6,44,,26,3
845,33,5,6,44,,26,3
846,33,5,6,44,,26,3
847,33,5,6,44,,26,3
848,33,5,6,44,,26,3
849,33,5,6,44,,27,3
850,33,5,6,44,,27,3
851,33,5,6,44,,27,3
852,33,5,6,44,,27,3
853,33,5,6,44,,27,3
854,33,5,6,44,,27,3
855,33,5,6,44,,27,3
856,33,5,6,44,,27,3
857,33,5,6,44,,27,3
858,33,5,6,44,,27,3
859,33,5,6,44,,27,3
860,33,5,6,44,,27,3
861,33,5,6,44,,27,3
862,33,5,6,44,,27,3
863,33,5,6,44,,27,3
864,33,5,6,44,,27,3
865,33,5,6,44,,27,3
866,33,5,6,44,,27,3
867,33,5,6,44,,27,3
868,33,5,6,44,,27,3
869,33,5,6,44,,27,3
870,33,5,6,44,,27,3
871,33,5,6,44,,27,3
872,33,5,6,44,,27,3
873,33,5,6,44,,27,3
874,33,5,6,44,,27,3
875,33,5,6,44,,27,3
876,33,5,6,44,,27,3
877,33,5,6,44,,27,3
878,33,5,6,44,,27,3
879,33,5,6,44,,27,3
880,33,5,6,44,,28,3
881,33,5,6,44,,28,3
882,33,5,6,44,,28,3
883,33,5,6,44,,28,3
884,33,5,6,44,,28,3
885,33,5,6,44,,28,3
886,33,5,6,44,,28,3
887,33,5,6,44,,28,3
888,33,5,6,44,,28,3
889,33,5,6,44,,28,3
890,33,5,6,44,,28,3
891,33,5,6,44,,28,3
892,33,5,6,44,,28,3
893,33,5,6,44,,28,3
894,33,5,6,44,,28,3
895,33,5,6,44,,28,3
896,33,5,6,44,,28,3
897,33,5,6,44,,28,3
898,33,5,6,44,,28,3
899,33,5,6,44,,28,3
900,33,5,6,44,,29,3
901,33,5,6,44,,29,3
902,33,5,6,44,,29,3
903,33,5,6,44,,29,3
904,33,5,6,44,,29,3
905,33,5,6,44,,29,3
906,33,5,6,44,,29,3
907,33,5,6,44,,29,3
908,33,5,6,44,,29,3
909,33,5,6,44,,29,3
910,33,5,6,44,,29,3
911,33,5,6,44,,29,3
912,33,5,6,44,,29,3
913,33,5,6,44,,29,3
914,33,5,6,44,,29,3
915,33,5,6,44,,29,3
916,33,5,6,44,,29,3
917,33,5,6,44,,29,3
918,33,5,6,44,,29,3
919,33,5,6,44,,29,3
920,33,5,6,44,,29,3
921,33,5,6,44,,29,3
922,33,5,6,44,,29,3
923,33,5,6,44,,29,3
924,33,5,6,44,,29,3
925,33,5,6,44,,29,3
926,33,5,6,44,,29,3
927,33,5,6,44,,29,3
928,33,5,6,44,,29,3
